program_class,generation_time_sec,run,seed,total_lines,covered_by_any,shared_lines,evosuite_exclusive,randoop_exclusive
LongestIncreasingSubsequence,120,1,101,15,15,15,0,0
LongestIncreasingSubsequence,120,2,202,15,15,15,0,0
LongestIncreasingSubsequence,120,3,303,15,15,15,0,0
LongestIncreasingSubsequence,120,4,404,15,15,15,0,0
LongestIncreasingSubsequence,120,5,505,15,15,15,0,0
LongestIncreasingSubsequence,120,6,606,15,15,15,0,0
LongestIncreasingSubsequence,120,7,707,15,15,15,0,0
LongestIncreasingSubsequence,120,8,808,15,15,15,0,0
LongestIncreasingSubsequence,120,9,909,15,15,15,0,0
LongestIncreasingSubsequence,120,10,10010,15,15,15,0,0
LruCache,120,1,101,13,13,13,0,0
LruCache,120,2,202,13,13,13,0,0
LruCache,120,3,303,13,13,10,3,0
LruCache,120,4,404,13,13,13,0,0
LruCache,120,5,505,13,13,13,0,0
LruCache,120,6,606,13,13,13,0,0
LruCache,120,7,707,13,13,13,0,0
LruCache,120,8,808,13,13,10,3,0
LruCache,120,9,909,13,13,10,3,0
LruCache,120,10,10010,13,13,13,0,0
PricingEngine,120,1,101,48,47,40,7,0
PricingEngine,120,2,202,48,47,42,5,0
PricingEngine,120,3,303,48,47,43,4,0
PricingEngine,120,4,404,48,47,41,6,0
PricingEngine,120,5,505,48,47,42,5,0
PricingEngine,120,6,606,48,47,42,5,0
PricingEngine,120,7,707,48,47,43,4,0
PricingEngine,120,8,808,48,47,42,5,0
PricingEngine,120,9,909,48,47,43,4,0
PricingEngine,120,10,10010,48,47,43,4,0
SimpleJsonParser,120,1,101,98,82,21,61,0
SimpleJsonParser,120,2,202,98,81,21,60,0
SimpleJsonParser,120,3,303,98,82,21,61,0
SimpleJsonParser,120,4,404,98,79,21,58,0
SimpleJsonParser,120,5,505,98,83,21,62,0
SimpleJsonParser,120,6,606,98,78,21,57,0
SimpleJsonParser,120,7,707,98,80,21,59,0
SimpleJsonParser,120,8,808,98,82,21,61,0
SimpleJsonParser,120,9,909,98,82,21,61,0
SimpleJsonParser,120,10,10010,98,80,21,59,0
